phonemes,ground_truth,prediction
ziː ɪst nɑːx taɪlɡeːbiːtən dɛɾ mateːmɑtiːk ʊntɜtaɪlt ʊnt ɪnɜhalp dɛɾ taɪlɡeːbiːtə ɪnhaltlɪç ɡɾʊpiːɾt,Sie ist nach Teilgebieten der Mathematik unterteilt und innerhalb der Teilgebiete inhaltlich gruppiert.,Sie ist nach Teilgebieten der Mathematik unterteilt und innerhalb der Teilgebiete inhaltlich genutzt.
dʒɪdɑː kɔntə fɔn deːn vɑːabiːtən alɜdɪŋs nɪçt ɛroːbɜt vɛɾdən,Dschidda konnte von den Wahhabiten allerdings nicht erobert werden.,George konnte von den Wahlen allerdings nicht erobert werden.
diː baɪnə zɪnt røːtlɪç ɡəfɛɾpt mɪt fɛɾdʊnkəltən paɾtiːən,Die Beine sind rötlich gefärbt mit verdunkelten Partien.,Die Beine sind rötlich gefedert mit verdunkelten Partien.
diː ʃtat ɪst bəryːmt fyːɾ rɑːmən,Die Stadt ist berühmt für Ramen.,Die Stadt ist berühmt für Rahmen.
diː fɛɾaɪnsfaɾbən zɪnt ɡɾyːn ɡɛlp ʊnt vaɪs,"Die Vereinsfarben sind Grün, Gelb und Weiß.","Die Vereinsfarben sind grün, gelb und weiß."
dɑːmɪt kœnən viːɾ jɑː alə leːbən,Damit können wir ja alle leben.,Damit können wir ja alle leben.
diː aɪnnɑːmən yːbɜʃtaɪɡən diː ʃʊldən,Die Einnahmen übersteigen die Schulden.,Die Einnahmen übersteigen die Schulden.
ɛs ɡiːpt fɛɾʃiːdənə viːdeːɔʃpiːlə diː als haʊpt oːdɜ taɪlaʊfɡɑːbə deːn baʊ fɔn axtɜbɑːnən hɑːbən,"Es gibt verschiedene Videospiele, die als Haupt- oder Teilaufgabe den Bau von Achterbahnen haben.","Es gibt verschiedene Videospiele, die als Haupt- oder Teilaufgabe den Bau von Achterbahnen haben."
plats dɛɾ eːɾstən manʃaft,Platz der ersten Mannschaft.,Platz der ersten Mannschaft.
das vɛɾt ʊnt kʊnstfɔl ɡəʃtaltətə buːx ɛnthɛlt tɛkstlɪç haʊptzɛçlɪç diː fiːɾ eːvaŋɛlɪən,Das wert- und kunstvoll gestaltete Buch enthält textlich hauptsächlich die vier Evangelien.,Das Werk und Kunstvoll gestaltete Buch enthält täglich hauptsächlich die vier Evangelien.
poːlə bəʃɛftɪçtə zɪç mɪt dɛɾ aɪtɾɪɡən meːnɪŋiːtɪs ʊnt dɛɾ zɛpsɪs,Pohle beschäftigte sich mit der eitrigen Meningitis und der Sepsis.,Polle beschäftigte sich mit der einigen Medientechnik und der Sepsis.
iːzɑːk deː riːvɑːts bəhɛɾʃtə lɑtaɪn mateːmɑtiːk ʊnt ɪnsbeːzɔndərə ɡeːoːmɛtɾiː,"Isaac de Rivaz beherrschte Latein, Mathematik und insbesondere Geometrie.",Israel de Rivas beherrschte Latein Mathematik und insbesondere Geografie.
k??ts fɔɾ zaɪnəm toːt tsoːk ɛɾ aʊf aɪnlɑdʊŋ dɛɾ bɑroːnɪn fɔn ɡɔltʃmɪtɾɔtʃɪlt nɑːx pɑrɪs,Kurz vor seinem Tod zog er auf Einladung der Baronin von Goldschmidt-Rothschild nach Paris.,Kurz vor seinem Tod zog er auf Einlassung der Baronin von Goldschmidt nach Paris.
dɔɾt vɪɾt dɛɾ flʊs aʊx fɔn tsvaɪ klaɪnən bɾykən yːbɜʃpant,Dort wird der Fluss auch von zwei kleinen Brücken überspannt.,Dort wird der Fluss auch von zwei kleinen Brücken überspannt.
dɑːd??ç ʃtɑbiːliːziːɾt zɪç diː tɛmpeːratuːɾ,Dadurch stabilisiert sich die Temperatur.,Dadurch stabilisiert sich die Temperatur.
aɪn oːdɜ meːrərə (en)eəbaɡz(de) fɪndən zɪç ɪn nɑːeːtsuː jeːdəm moːdɛɾnən fɑːɾtsɔøk,Ein oder mehrere Airbags finden sich in nahezu jedem modernen Fahrzeug.,Ein oder mehrere E-Boots finden sich in Nahezu jedem modernen Fahrzeug.
ziː ɪst maɪst vaɪs ɡəfɛɾpt zeːɾ zɛltən aʊx blaʊ røːtlɪç oːdɜ kɾeːmeːvaɪs,"Sie ist meist weiß gefärbt, sehr selten auch blau, rötlich oder cremeweiß.","Sie ist meist weiß gefärbt, sehr selten auch blau, rötlich oder krebs."
hɑːns zaɪdəl vɑːɾ fɛɾhaɪrɑːtət ʊnt fɑːtɜ aɪnɜ tɔxtɜ,Hans Seidel war verheiratet und Vater einer Tochter.,Hans Seedel war verheiratet und Vater einer Tochter.
aʊsɜdeːm neːmən ziː aʊx ʊnnɑːtyːɾlɪçə kɔst viː tsʊm baɪʃpiːl nuːdəln an,"Außerdem nehmen sie auch unnatürliche Kost wie zum Beispiel Nudeln an,",Außerdem nehmen sie auch unnatürliche Kosten wie zum Beispiel nudeln an.
ɪç ɡlaʊbə das diː ɔøroːpɛːɪʃən poːliːtsɪstən meːɾ oːdɜ veːnɪɡɜ diː ɡlaɪçə aʊsbɪldʊŋ hɑːbən,"Ich glaube, dass die europäischen Polizisten mehr oder weniger die gleiche Ausbildung haben.","Ich glaube, dass die Europäischen Politikisten mehr oder weniger die gleiche Ausbildung haben."
dɛɾ ɡədaŋkə dɑːran lɛst iːn ɛɾnɔøt tsuːzamənbɾɛçən,Der Gedanke daran lässt ihn erneut zusammenbrechen.,Der Gedanke daran lässt ihn erneut zusammenbrechen.
baɪ aɪnəm ziːk ɡiːpt ɛs tsvaɪ pʊŋktə baɪ aɪnɜ niːdɜlɑːɡə aɪnən pʊŋkt,"Bei einem Sieg gibt es zwei Punkte, bei einer Niederlage einen Punkt.",Bei einem Sieg gibt es zwei Punkte bei einer Niederlage einen Punkt.
duːkə (en)ɒv(de) kveːnsbɜriː,Duke of Queensberry.,Ducke of Vancouver.
dɛɾ tsvaɪtə vɛltkɾiːk hɪntɜliːs nuːɾ veːnɪɡə tsɛɾʃtøːrʊŋən,Der Zweite Weltkrieg hinterließ nur wenige Zerstörungen.,Der Zweite Weltkrieg hinterließ nur wenige Zerstörungen.
zoː tɾɛfən zɪç diː çeːtɑː ɡɪɾls viːdɜ,So treffen sich die Cheetah Girls wieder.,So treffen sich die Cheta Gills wieder.
viːɾ mysən dɑːfyːɾ kɛmpfən das diː ʃtaɪnɪɡʊŋən fɛɾboːtən ʊnt nɪçt nuːɾ aʊsɡəzɛtst vɛɾdən,"Wir müssen dafür kämpfen, dass die Steinigungen verboten und nicht nur ausgesetzt werden.","Wir müssen dafür kämpfen, dass die Steinigungen verboten und nicht nur ausgesetzt werden."
ziː leːkt dɑːbaɪ aɪnən foːkʊs aʊf zɛksɪsmʊs ʊnt miːzoːɡyːniː,Sie legt dabei einen Fokus auf Sexismus und Misogynie.,Sie legt dabei einen Fuß auf Sechsismus und Musik.
dɛshalp bəɡɾyːsə ɪç aɪnɜzaɪts das aɪnə ʃpeːtsjɛlə haʊshaltstsaɪlə yːbɜ ɡɾɛntsreːɡioːnən aɪnɡəfyːkt v??də,"Deshalb begrüße ich einerseits, dass eine spezielle Haushaltszeile über Grenzregionen eingefügt wurde.","Deshalb begrüße ich einerseits, dass eine spezielle Haushaltszeit über Grenzregionen eingeführt wurde."
ɡeːɡən diːzə bəaɪntɾɛçtɪɡʊŋ vɪɾd mɪt mɪtəln dɛɾ ɡəfɑːrənabveːɾ foːɾɡəɡaŋən,Gegen diese Beeinträchtigung wird mit Mitteln der Gefahrenabwehr vorgegangen.,Gegen diese Beeinträchtigung wird mit Mitteln der Gefahrnabwehr vorgegangen.
am ɡɾabmɑːl ɪst das moːdɛl aɪnɜ miː ɡeː mɔntiːɾt,Am Grabmal ist das Modell einer MiG montiert.,Am Grabmal ist das Modell einer Mi ge montiert.
diː nɔøə mɛsə ɪst aɪn vɪçtɪɡɜ ʃtandɔɾt dɛs fraɪb??ɡɜ vɪɾtʃafts ʊnt kʊlt??leːbəns ɡəvɔɾdən,Die Neue Messe ist ein wichtiger Standort des Freiburger Wirtschafts- und Kulturlebens geworden.,Die neue Messe ist ein wichtiger Standort des Freiburger Wirtschafts- und Kulturlebens geworden.
fɪn raɪkst duː miːɾ bɪtə deːn nuːdəlzalɑːt,"Finn, reichst du mir bitte den Nudelsalat?",Finn reicht du mir bitte den Nudelsaal.
diː kɪɾçə ɪst ɪm byːtsantiːnɪʃən ʃtiːl ɛɾrɪçtət ʊnt ʃpɛːtɜ rɛstaʊriːɾt vɔɾdən,Die Kirche ist im byzantinischen Stil errichtet und später restauriert worden.,Die Kirche ist im byzantinischen Stil errichtet und später restauriert worden.
dɛshalp mʊs man reːaɡiːrən ʊnt dɑːmɪt ɪst das ɔøroːpɛːɪʃə paɾlamɛnt ɡeːɡənvɛɾtɪç bəfast,"Deshalb muss man reagieren, und damit ist das Europäische Parlament gegenwärtig befasst.",Deshalb muss man reagieren und damit ist das Europäische Parlament gegenwärtig befasst.
tsuːbɪn meːtɑː yːbɜnɑːm diː ʃɪɾmhɛɾʃaft dɛɾ pɾoːdʊktsjoːn,Zubin Mehta übernahm die Schirmherrschaft der Produktion.,Zubin Mata übernahm die Schriftführung der Produktion.
nɑmənɡeːbənt vɛːrə diː nɑːə ɡəleːɡənə uːraniːɑː ɡəveːzən,Namengebend wäre die nahe gelegene Urania gewesen.,Namengebend wäre die nahe gelegene Urania gewesen.
tsuː deːn ʃveːɾpʊŋktən zaɪnɜ poːliːtɪʃən aɾbaɪt tsɛːlən zɪçɜhaɪt ʊnt ɔɾdnʊŋ,Zu den Schwerpunkten seiner politischen Arbeit zählen Sicherheit und Ordnung.,Zu den Schwerpunkten seiner politischen Arbeit zählen Sicherheit und Ordnung.
eːbənfals ɛksɪstiːɾtən tsuː diːzɜ tsaɪt aʊx ʃoːn tsvaɪ vasɜmyːlən,Ebenfalls existierten zu dieser Zeit auch schon zwei Wassermühlen.,Ebenfalls existierten zu dieser Zeit auch schon zwei Wassermühlen.
dɛɾ fɛɾvaltʊŋsɪts bəfɪndət zɪç ɪn dɛɾ nɪçt amtzaŋeːøːrɪɡən kɾaɪsʃtat ɡystɾoːf,Der Verwaltungssitz befindet sich in der nicht amtsangehörigen Kreisstadt Güstrow.,Der Verwaltungssitz befindet sich in der nicht amtsangehörigen Kreisstadt Gösdorf.
t??niːɾziːk zaɪnɜ karɪeːrə,Turniersieg seiner Karriere.,Turniersieg seiner Karriere.
diːzə hoːtʃpɑːrəkɔmpoːnɛntən vɛɾdən aʊx hoːtʃtandbiːkɔmpoːnɛntən ɡənant,Diese Hot-Spare-Komponenten werden auch Hot-Standby-Komponenten genannt.,Diese Hotspure-Komponetten werden auch Hotspur-Komponetten genannt.
als pɔstdɔktoːrant vɑːɾ ɛɾ an dɛɾ (en)juːnɪvɜːsɪti ɒv(de) pɪtsb??kh,Als Post-Doktorand war er an der University of Pittsburgh.,Als Postdoktor war er an der University of Pennsylvania.
das ɪst toːtɑːlɜ kvatʃ kaɾlhaɪnts,"Das ist totaler Quatsch, Karlheinz!",Das ist totholer Kwandsch Karlenstein.
maɪs ʊnt ɛɾdnysə zɪnt vaɪtərə vɪçtɪɡə lantvɪɾtʃaftlɪçə pɾoːdʊktə ɪm dɪstɾɪkt,Mais und Erdnüsse sind weitere wichtige landwirtschaftliche Produkte im Distrikt.,Meist und Erdüsse sind weitere wichtige landwirtschaftliche Projekte im Distrikt.
vɛn ɪn aɪnəm jɑːrə meːrərə pɾaɪstɾɛːɡɜ ɡəeːɾt vɛɾdən vɪɾt diː zʊmə ɡlaɪçmɛːsɪç ɡətaɪlt,"Wenn in einem Jahre mehrere Preisträger geehrt werden, wird die Summe gleichmäßig geteilt.","Wenn in einem Jahr mehrere Priester geehrt werden, wird die Säume gleichmäßig geteilt."
diː ɪntɜnatsjoːnɑːlə ɡəmaɪnʃaft daɾf deːm kɔnflɪkt jeːdɔx nɪçt deːn rykən tsuːkeːrən,Die internationale Gemeinschaft darf dem Konflikt jedoch nicht den Rücken zukehren.,Die internationale Gemeinschaft darf dem Konflikt jedoch nicht den Rücken zukeren.
dɔøtʃə fɔlkskɔŋɡɾɛs ɪn bɛɾliːn,Deutsche Volkskongress in Berlin.,Deutsche Volkskammer in Berlin.
ɔfiːtsjɛlə zaɪtə,Offizielle Seite,Offizielle Seite.
fɛɾliːptaɪt ʊnt liːbə zɪnt tsvaɪ fɔlkɔmən ʊntɜʃiːtlɪçə dɪŋə,Verliebtheit und Liebe sind zwei vollkommen unterschiedliche Dinge.,Verliebt und liebe sind zwei vollkommen unterschiedliche Dinge.
diː kœɾpeːrʊntɜzaɪtə ɪst aɪnfaɾbɪç,Die Körperunterseite ist einfarbig.,Die Körperunterseite ist einfarbig.
das aɪntsɪɡə vɪɾklɪçə pɾoːbleːm bəʃtant ɪm tsuːzamənhaŋ mɪt kɑliːnɪŋɡɾɑːt ʊnt das ɪst ɡəlœst,"Das einzige wirkliche Problem bestand im Zusammenhang mit Kaliningrad, und das ist gelöst.",Das einzige wichtige Problem bestand im Zusammenhang mit Kalininggrad und das ist löst.
diː haltɛʃtɛlən vɛɾdən taɡzyːbɜ ɪm halpstʊndɛntakt anɡəfɑːrən,Die Haltestellen werden tagsüber im Halbstundentakt angefahren.,Die Haltestellen werden tagsüber im Halbknotentakt angefahren.
diː faʊnɑː ʊmfast ʊntɜ andərəm ɛlçə,Die Fauna umfasst unter anderem Elche.,Die Fauna umfasst unter anderem Elche.
aʊx ʃpɛːtɜ ʃtandən ziː œftɜ tsuːzamən aʊf dɛɾ byːnə,Auch später standen sie öfter zusammen auf der Bühne.,Auch später standen sie öfter zusammen auf der Bühne.
ʊnt dɾɪtəns daɾf ɛs ɪn deːm ɡəʃpɾɛç nɪçt ʊm mɛnɜ ɡeːən,Und drittens darf es in dem Gespräch nicht um Männer gehen.,Und drittens darf es in dem Gespräch nicht um Männer gehen.
ziː fliːɡən fɔn juːniː bɪs zɛptɛmbɜ,Sie fliegen von Juni bis September.,Sie fliegen von Juni bis September.
diː tiːrə zɪnt ɪn dɛɾ ɡəzamtən pɑlɛːaɾktɪs fɛɾbɾaɪtət,Die Tiere sind in der gesamten Paläarktis verbreitet.,Die Tiere sind in der gesamten Palästris verbreitet.
dɛɾ zeːkvɛnkɜ ɪst ɪm ɡeːɡənzats tsuː hɛɾkœmlɪçən tɾakɜn nɪçt liːneːɑːɾ aʊfɡəbaʊt,Der Sequencer ist im Gegensatz zu herkömmlichen Trackern nicht linear aufgebaut.,Der Sequelker ist im Gegensatz zu herkömmlichen Trankern nicht linear aufgebaut.
fɔn fɛltən ɪst juːrɪstɪn,Von Felten ist Juristin.,Von Felden ist Juristin.
aɪn vaɪtərəs muːzeːʊm ɛɾɪnɜt an diː ɡɾyndərɪn,Ein weiteres Museum erinnert an die Gründerin.,Ein weiteres Museum errichtet an die Grünerin.
dɛɾ kvɛrɛçtɛkɪɡə vɛst??m daɡeːɡən ʃtamt nɔx fɔm foːɾɡɛŋɜbaʊ,Der querrechteckige Westturm dagegen stammt noch vom Vorgängerbau.,Der qualitative Westturm dagegen stammt noch vom Vorgängerbau.
aɪn ʃveːɾpʊŋkt zaɪnɜ fɔɾʃʊŋ vɑːrən diː b??ɡvɛlə pɔmɜns,Ein Schwerpunkt seiner Forschung waren die Burgwälle Pommerns.,Ein Schwerpunkt seiner Forschung waren die Burgvette Peters.
eːɾstə tɛːtɪçkaɪtsfɛldɜ fant ɛɾ ɪn hamb??kbɾamfɛlt ʊnt kœlnbaɪəntɑːl,Erste Tätigkeitsfelder fand er in Hamburg-Bramfeld und Köln-Bayenthal.,Erste Tätigkeitsfelder fand er in Hamburg-Bamberg-Felt und Köln-Bielefeld.
aɾmeː fɔɾ dɛɾ roːtən aɾmeː aʊs deːm œstlɪçən baltiːkʊm tsuːryk,Armee vor der Roten Armee aus dem östlichen Baltikum zurück.,Armee vor der Roten Armee aus dem östlichen Balticum zurück.
ʃpɛːtɜ ʃtuːdiːɾtə ziː am ɛksətɜ kɔleːɡə ɪn ɔksfɔɾt,"Später studierte sie am ""Exeter College"" in Oxford.",Später studierte sie am Exemplar College in Oxford.
fiːlən fɑːns ɡɪlt diːzəs albʊm dɛshalp bɪs hɔøtə als maɪstɜvɛɾk dɛɾ bant,Vielen Fans gilt dieses Album deshalb bis heute als Meisterwerk der Band.,Vielen Fans gilt dieses Album deshalb bis heute als Meisterwerk der Band.
mɪt deːm dɾaɪsɪɡjɛːrɪɡən kɾiːk zɛtstə aʊx dɛɾ niːdɜɡaŋ dɛɾ ʃtat aɪn,Mit dem Dreißigjährigen Krieg setzte auch der Niedergang der Stadt ein.,Mit dem dreißigjährigen Krieg setzte auch der Niedergang der Stadt ein.
kɪɾçbɛɾk ɡəhœɾtə tsʊm lantɡərɪçt ɛɾdɪŋ ɪm k??fyɾstəntuːm baɪɜn,Kirchberg gehörte zum Landgericht Erding im Kurfürstentum Bayern.,Kirchberg gehörte zum Landgericht Erding im Kurfürstentum Bayern.
maɪn zoːn ɡeːt tsuː hoːənʃtaɪn klaɪdʊŋ anpɾoːbiːrən pasfɔɾmɡɛnaʊɪçkaɪt,"Mein Sohn geht zu Hohenstein, Kleidung anprobieren, Passformgenauigkeit.",Mein Sohn geht zu Hohenstein Kleindung anprobieren Passformgemäßigkeit.
diː kantsəl ʃtamt aʊs dɛɾ ɛɾbaʊʊŋstsaɪt dɛɾ kɪɾçə,Die Kanzel stammt aus der Erbauungszeit der Kirche.,Die Kanzel stammt aus der Erbauungszeit der Kirche.
dan zaɪən ziː nɑːx riːaltoː ɡətsoːɡən,Dann seien sie nach Rialto gezogen.,Dann seien Sie nach Rico gezogen.
bʊdiː bɛːɾ aɾbaɪtətə als ʃaʊʃpiːlɜ ɡənaʊ viː zaɪn bɾuːdɜ ʊnt zaɪn nɛfə,"Buddy Baer arbeitete als Schauspieler, genau wie sein Bruder und sein Neffe.",Basti Ber arbeitete als Schauspieler genau wie sein Bruder und sein Enkel.
ɪm dɔøtʃən tsiːvɪlrɛçt kɔmt dɛɾ kʊndə nɪçt fɔɾ,Im deutschen Zivilrecht kommt der Kunde nicht vor.,Im deutschen Zivilrecht kommt der Kunde nicht vor.
an ɛndərʊŋən ɪntərɛsiːɾtə andərə klasən kœnən zɪç als lɪstənɜ reːɡɪstɾiːrən,An Änderungen interessierte andere Klassen können sich als Listener registrieren.,An Änderungen interpretierte andere Klassen können sich als silberner registrieren.
baɪm zynkɾoːnʃpɾɪŋən fɔm t??m ɡəvan ziː diː bɾɔntseːmeːdaɪlə,Beim Synchronspringen vom Turm gewann sie die Bronzemedaille.,Beim Schwankronspringen vom Turm gewann sie die Bronzemedaille.
aʊsraɪçəndə vɛɾmeːapfuːɾ ɪst ɛɾfɔɾdɜlɪç,Ausreichende Wärmeabfuhr ist erforderlich.,Ausreichende Werbeabfuhr ist erforderlich.
liːniːnflyːɡə ɪn deːn ɔstblɔk yːbɜvandən dɑːbaɪ iːdeːoːloːɡɪʃə ɡɾɛntsən,Linienflüge in den Ostblock überwanden dabei ideologische Grenzen.,Lininflyge in den Oschatz überwanden dabei ideologische Grenzen.
ɛɾɡɛntsʊŋən altɜnɑtɪvfoːɾʃlɛːɡə ʊnt dɪskʊsjoːnən zɪnt vɪlkɔmən ʊnt ɛɾvynʃt,"Ergänzungen, Alternativvorschläge und Diskussionen sind willkommen und erwünscht.",Erfindungen Alternative-Vorschriften und Diskussionen sind wichtig und erwünscht.
zaɪn ɪntərɛsə ɡalt alɜdɪŋs tsuːneːmənt dɛɾ fiːloːzoːfiː ʊnt dɛɾ ɛsteːtiːk,Sein Interesse galt allerdings zunehmend der Philosophie und der Ästhetik.,Sein Interesse galt allerdings zunehmend der Philosophie und der Existenz.
tsvɑːɾ zɪnt diː oːrɪɡiːnɑːlən ɡɾʊpən nɪçt ɛɾhaltən dɑːfyːɾ ɑːbɜ axt fraɡmɛntə fɔn røːmɪʃən koːpiːən,"Zwar sind die originalen Gruppen nicht erhalten, dafür aber acht Fragmente von römischen Kopien.","Zwar sind die osmanen Gruppen nicht erhalten, dafür aber acht Gruppen von römischen Kolonien."
dɛɾ tsvaɪtə pʊŋkt deːn viːɾ hɑːbən ɪst das pɾoːbleːm das viːɾ poːlariːziːrən,"Der zweite Punkt, den wir haben, ist das Problem, dass wir polarisieren.","Der zweite Punkt, den wir haben, ist das Problem, dass wir manipulieren."
maɪn ɡɔt dan ɪst ɛs halt zoː,"Mein Gott, dann ist es halt so!","Mein Gott, dann ist es halt so."
alə andərən ɔɾtə bəʃteːən aʊs klaɪnərən anziːdlʊŋən,Alle anderen Orte bestehen aus kleineren Ansiedlungen.,Alle anderen Orte bestehen aus kleineren Ansätzen.
an haɪlɪɡɑːbənt fɪndən tɾɑdiːtsjoːnɛlə vaɪhnaxtsmɛsən ʃtat ʊnt diː famiːlɪən tɾɛfən zɪç tsʊm fɛstlɪçən ɛsən,An Heiligabend finden traditionelle Weihnachtsmessen statt und die Familien treffen sich zum festlichen Essen.,An Heiligabend finden traditionelle Weihnachtsmessen Stadt und die Familien treffen sich zum festlichen Essen.
diː klɪpən iːrɜ kystənliːnɪə bəʃteːən aʊs kɾaɪdə ʊnt zɪnt bəkant fyːɾ iːrə fɔsiːliːnfʊndə,Die Klippen ihrer Küstenlinie bestehen aus Kreide und sind bekannt für ihre Fossilienfunde.,Die Klippen ihrer Küstenlinie bestehen aus Kreuze und sind bekannt für ihre Fosilienform.
aɪn vɑkɑːɡədɛŋkʃtaɪn ɪm hoːtəl ɛɾɪnɜt dɑːran,Ein Waka-Gedenkstein im Hotel erinnert daran.,Ein Waage-Denkmal im Hotel erinnert daran.
dɛɾ (en)bɹɪdʒ(de) lɑːkə pɾoːvɪnkiːɑːl paɾk ɡɾɛntst an deːn ɔɾt,Der Bridge Lake Provincial Park grenzt an den Ort.,Der British Lake Provincial Park grenzt an den Ort.
ʊnt ɔøroːpɑː,Und Europa?,Und Europa!
oːbən ɪn dɛɾ mɪtə zɪçɜt aɪn ʃlʊsʃtaɪn das ɡəvœlbə,Oben in der Mitte sichert ein Schlussstein das Gewölbe.,Oben in der Mitte sichert ein Schussstein das Gewölbe?
das ɪst ʊnzɜ ɛɾklɛɾtəs tsiːl ʊnt aʊs diːzəm ɡɾʊnt fɔɾdɜn viːɾ aɪn fiːnantsɪnstɾuːmɛnt,"Das ist unser erklärtes Ziel, und aus diesem Grund fordern wir ein Finanzinstrument.",Das ist unser erklärtes Ziel und aus diesem Grund fordern wir ein Finanzministerium.
ɛs handəlt zɪç ɪn diːzəm tsuːzamənhaŋ leːdɪɡlɪç ʊm aɪnə loːɡɪstɪʃə frɑːɡə,Es handelt sich in diesem Zusammenhang lediglich um eine logistische Frage.,Es handelt sich in diesem Zusammenhang lediglich um eine politische Frage.
diːs vɑːɾ aɪnə tɾaʊmɑːtɪʃə ɛɾfɑːrʊŋ dɛɾ famiːlɪə,Dies war eine traumatische Erfahrung der Familie.,Dies war eine traumatische Erfassung der Familie.
das bətɾɪft diː ɡantsə raɪə,Das betrifft die ganze Reihe.,Das betrifft die ganze Reihe.
hɔøfɪç aɾbaɪtətə ɛɾ mɪt ɡiːuːzɛpə deː zantɪs tsuːzamən,Häufig arbeitete er mit Giuseppe De Santis zusammen.,Häufig arbeitete er mit Gitarre de Sandis zusammen.
viːɾ kœnən ʊns ɪn diːzəm paɾlamɛnt nɪçt fɔɾ ʊnzərɜ fɛɾantvɔɾtʊŋ dɾykən,Wir können uns in diesem Parlament nicht vor unserer Verantwortung drücken.,Wir können uns in diesem Parlament nicht vor unserer Verantwortung drücken.
ɪn ɛkɪɡən klamɜn ɪst diː laʊtʃrɪft anɡəɡeːbən,In eckigen Klammern ist die Lautschrift angegeben.,In eckigen Klammern ist die Lautschrift angegeben.
aʊx das fɑːɾvɛɾk ʊntɜʃaɪdət zɪç das nɔøə moːdɛl hatə dɾeːstapfeːdɜn,Auch das Fahrwerk unterscheidet sich: Das neue Modell hatte Drehstabfedern.,Auch das Fahrwerk unterscheiden sich das neue Modell hatte Drehstapfedern.
diː haltʊŋ ɪn ɡəfaŋənʃaft ɪst dɛshalp mɪt aʊsnɑːmə fɔn zeːɾ ɡɾoːsən œfəntlɪçən ʃaʊakvɑriːən aptsuːleːnən,Die Haltung in Gefangenschaft ist deshalb mit Ausnahme von sehr großen öffentlichen Schauaquarien abzulehnen.,Die Haltung in Gefangenschaft ist deshalb mit Ausnahme von sehr großen öffentlichen Schauspielen abzulehnen.
kʊxənhaɪm ɛɾhiːlt aɪn hœltsɜnəs ʃtɛlvɜksɡeːbɔødə am haʊsbɑːnstaɪk,Kuchenheim erhielt ein hölzernes Stellwerksgebäude am Hausbahnsteig.,Küstenheim erhielt ein hölzers Stellwerkgebäude am Hausbahnsteig.
rɔtmɑːn ɛɾœfnət k??ts nɑːx deːm kɾiːk ɪn mynçən aɪnə ɡɑleːriː dɛɾ moːdɛɾnən kʊnst,Rothman eröffnet kurz nach dem Krieg in München eine Galerie der modernen Kunst.,Ratman eröffnet kurz nach dem Krieg in München eine Galarie der modernen Kunst.
d??ç deːn ɔɾt liːf fryːɜ aɪnə zaltsstɾɑːsə,Durch den Ort lief früher eine Salzstraße.,Durch den Ort lief früher eine Salzstraße.
